index,Sample-type,Status,patient_ID,Methanobacteria,Deinococci,[Chloracidobacteria],Acidobacteria-6,Actinobacteria,Coriobacteriia,Rubrobacteria,Thermoleophilia,0319-6E2,Armatimonadia,[Saprospirae],Bacteroidia,Cytophagia,Flavobacteriia,Sphingobacteriia,Chlamydiia,Anaerolineae,Thermomicrobia,4C0d-2,Chloroplast,Oscillatoriophycideae,Bacilli,Clostridia,Erysipelotrichi,Fusobacteriia,Gemmatimonadetes,BD1-5,Nitrospira,Planctomycetia,Alphaproteobacteria,Betaproteobacteria,Deltaproteobacteria,Epsilonproteobacteria,Gammaproteobacteria,VHS-B5-50,Spirochaetes,Synergistia,Mollicutes,TM7-3,Unknown
FL.CON1062.BAL.FlushControl,BAL,control,1062,0,0,0,0,0.0810810810810811,0,0.0228934817170111,0,0,0,0,0.0610492845786963,0,0.0483306836248013,0,0,0,0,0,0,0,0.240063593004769,0.105246422893482,0,0,0,0,0,0,0.0282988871224165,0.0578696343402226,0.119236883942766,0,0.223529411764706,0,0,0,0,0.0124006359300477,0
FL.CON1063.BAL.FlushControl,BAL,control,1063,0,0,0,0,0.265339966832504,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.238805970149254,0,0,0.0116086235489221,0,0,0,0,0,0,0,0,0.48424543946932,0,0,0,0,0,0
FL.CON1064.BAL.FlushControl,BAL,control,1064,0,0,0,0,0.239152037098377,0,0,0,0,0,0,0,0,0.0428949983438225,0,0,0,0,0,0,0,0.340510102683008,0.00347797283868831,0.00364359059291156,0.00778403444849288,0,0,0,0,0.0856243789334217,0,0.0210334547863531,0,0.255879430274925,0,0,0,0,0,0
FL.CON1065.BAL.FlushControl,BAL,control,1065,0,0,0,0,0.234329971181556,0,0,0.00702449567723343,0,0,0,0.0149495677233429,0.0329610951008646,0.0459293948126801,0,0,0,0,0,0.025036023054755,0,0.185518731988473,0.0129682997118156,0,0.00468299711815562,0,0,0,0,0.130403458213256,0.0239553314121037,0.00378242074927954,0,0.278458213256484,0,0,0,0,0,0
FL.CON1066.BAL.FlushControl,BAL,control,1066,0,0,0,0,0.174731182795699,0,0,0.0239247311827957,0,0,0,0,0,0.00833333333333333,0,0,0,0,0,0,0,0.315591397849462,0,0,0,0,0,0,0,0.161559139784946,0.0190860215053763,0.039247311827957,0.0010752688172043,0.256451612903226,0,0,0,0,0,0
FL.CON1067.BAL.FlushControl,BAL,control,1067,0,0,0,0,0.128676470588235,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.442156862745098,0.0463235294117647,0,0,0,0,0,0,0.0909313725490196,0.00857843137254902,0.00318627450980392,0,0.280147058823529,0,0,0,0,0,0
FL.CON1068.BAL.FlushControl,BAL,control,1068,0,0,0,0,0.164597517020425,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.647577092511013,0,0,0,0,0,0,0,0.0208249899879856,0,0,0,0.167000400480577,0,0,0,0,0,0
FL.CON1069.BAL.FlushControl,BAL,control,1069,0,0,0,0,0.234162895927602,0,0,0,0,0,0,0,0,0.00509049773755656,0,0,0,0,0.0130090497737557,0.00537330316742081,0,0.354638009049774,0.00226244343891403,0,0,0,0,0,0,0.0723981900452489,0,0.0175339366515837,0,0.295531674208145,0,0,0,0,0,0
FL.CON1070.BAL.FlushControl,BAL,control,1070,0,0,0,0,0.187781785392245,0.00969341749323715,0,0,0,0,0,0.0103697024346258,0,0.0232191163210099,0,0,0,0,0.0128494138863841,0,0,0.301623083859333,0,0,0,0,0,0,0,0.216862037871957,0,0.00383228133453562,0,0.233769161406673,0,0,0,0,0,0
FL.CON1071.BAL.FlushControl,BAL,control,1071,0,0,0,0,0.0979899497487437,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.641959798994975,0.00753768844221105,0,0,0,0,0,0,0.028894472361809,0,0.0268006700167504,0,0.196817420435511,0,0,0,0,0,0
FL.CON1072.BAL.FlushControl,BAL,control,1072,0,0,0.0398915569326104,0,0.257939581719597,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.215336948102246,0,0,0,0,0,0,0,0.12006196746708,0,0.0495739736638265,0,0.31719597211464,0,0,0,0,0,0
FL.CON1073.BAL.FlushControl,BAL,control,1073,0,0,0,0,0.109759805411979,0,0,0,0,0,0,0.0504712678625722,0,0,0,0,0,0,0,0,0,0.393128610519915,0.00516874429917908,0,0,0,0,0,0,0.027972027972028,0,0.027059896625114,0,0.386439647309213,0,0,0,0,0,0
FL.CON1074.BAL.FlushControl,BAL,control,1074,0,0,0,0,0.165666266506603,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0270108043217287,0,0,0.536014405762305,0,0,0,0,0,0,0,0,0,0,0,0.271308523409364,0,0,0,0,0,0
